TIME;REPLICATE_1;REPLICATE_2
0;1236666.667;1750185.185
0.994444444;4205123.267;3252696.456
1.999305556;15111710.32;9075500.77
2.99375;75505533.67;74548865.13
4.002083333;75704359.41;85812868.84
5.001388889;108994860.1;112992575.7
5.999305556;72558537.98;88730249.38
6.999305556;110108509.4;140248429.5
8.002083333;131589392;146635396
8.998611111;135377954.2;139951289.9
10.00555556;313034457.9;294389319.9
10.99375;113495435.7;113834439.8
12.00555556;159239700.4;222355805.2
13;150438202.2;158640449.4
