TIME;REPLICATE_1;REPLICATE_2
0;1003888.889;1098888.889
0.994444444;2264637.904;2133667.18
2;7723420.647;7134052.388
2.991666667;41005439.88;34788970.17
4.000694444;28661717.11;27214924.8
5.003472222;40232248.24;39154768.7
6;36936036.55;42608985.34
7.003472222;56339234.72;184161431.6
8.002083333;49711347.65;61140176.8
9;57595165.07;61807685.37
10.00972222;64143965.36;79541764.39
10.99791667;102336280;77665524.08
12.00972222;75913857.68;67295880.15
13.00416667;64097378.28;66775280.9
